Percdeleted,AvgComKarma,TotalKarma,ComUpRatio,ContainsCant,ContainsDont,ContainsEveryone,ContainsAnyone,ContainsHappy,ContainsLove,AvgComLen,AvgWordLen,AvgCommTime,VoteTime,AvgVaderSentiment,post id,sub
0.02739726,26.80142476,31297,13.93455031,0.033851784,0.090118939,0.023330284,0.021043001,0.004117109,0.015553522,25.2031107,4.690365557,0.009462554,0.131856437,0.012195014,9sx01s,gatekeeping
0.031615925,30.35550459,31201,35.7809633,0.028402367,0.088757396,0.018934911,0.014201183,0.002366864,0.044970414,30.88402367,4.235735908,4.25504229,152.249512,0.163153018,bohoyd,gatekeeping
0.025125628,31.85980149,31106,38.59305211,0.027989822,0.047073791,0.008905852,0.008905852,0.001272265,0.013994911,18.97328244,4.563132837,0.003852619,0.148684326,0.042797201,f19pzr,gatekeeping
0.02874049,15.54326123,31045,25.82778702,0.028253425,0.100171233,0.020547945,0.007705479,0.005136986,0.014554795,34.14126712,4.411665873,0.061219553,1.581165565,-0.003598373,cw4vlc,gatekeeping
0.02195019,7.021052632,31032,13.06610526,0.057253551,0.193715024,0.021093414,0.019371502,0.012053379,0.016358158,44.09470512,4.590987192,0.131551981,1.718872032,-0.038646707,jlzvpa,gatekeeping
0.026200873,22.52915952,30995,26.58233276,0.01584507,0.05721831,0.006161972,0.009683099,0.004401408,0.055457746,18.41989437,4.328410992,0.00471796,0.125414389,0.060248944,cdvu2l,gatekeeping
0.016439909,16.34055904,31000,17.68397034,0.023781903,0.117169374,0.02262181,0.016821346,0.006960557,0.023201856,40.11078886,4.718210872,0.046964331,0.830515831,0.007230452,ia4wcr,gatekeeping
0.012468828,17.88383838,30876,77.96969697,0.007672634,0.058823529,0.056265985,0.010230179,0,0.012787724,16.48081841,4.433116077,0.009498593,0.740602449,0.136996931,gnbsww,gatekeeping
0.043968433,20.2037037,30635,33.37145969,0.025028441,0.077360637,0.007963595,0.012514221,0.009101251,0.007963595,27.3811149,4.457620076,0.005918745,0.197517157,-0.072597952,a07f4a,gatekeeping
0.035096643,47.9474467,30586,15.16410511,0.031827515,0.102156057,0.02926078,0.015400411,0.003593429,0.016427105,28.98203285,4.281931381,0.007869508,0.119334045,0.048289425,7vy7az,gatekeeping
0.008958567,10.93592677,30590,35,0.01039261,0.031177829,0.011547344,0.005773672,0.001154734,0.018475751,14.77829099,4.272776996,0.003820891,0.13373117,0.061585566,fahn4p,gatekeeping
